run_id,candidate_id,candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,source_file,notes,original_text,normalized_text,phonemes,total_phonemes,target_count,saturation_percentage,passes_saturation,is_valid,failure_reasons,word_count,dictionary_mode
20260529_171437,20260529_171437_00000,panj,manual,baseline_prompt,N,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,panj,panj,p a nj,3,2,66.66666666666666,True,True,,1,none
20260529_171437,20260529_171437_00001,puna,manual,baseline_prompt,N,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,puna,puna,p u n a,4,3,75.0,True,True,,1,none
20260529_171437,20260529_171437_00002,bun,manual,baseline_prompt,N,60.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,bun,bun,b u n,3,3,100.0,True,True,,1,none
20260529_171437,20260529_171437_00003,pupun,manual,generate_more_than_needed_prompt,N,70.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,pupun,pupun,p u p u n,5,5,100.0,True,True,,1,none
20260529_171437,20260529_171437_00004,mumun,manual,generate_more_than_needed_prompt,N,80.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,mumun,mumun,m u m u n,5,5,100.0,True,True,,1,none
20260529_171437,20260529_171437_00005,puno banana u panju,manual,few_shot_prompt,N,40.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,puno banana u panju,puno banana u panju,p u n o b a n a n a u p a nj u,15,10,66.66666666666666,True,True,,4,none
20260529_171437,20260529_171437_00006,mama puni puno,manual,few_shot_prompt,N,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,mama puni puno,mama puni puno,m a m a p u n i p u n o,12,8,66.66666666666666,True,True,,3,none
20260529_171437,20260529_171437_00007,buna puni mumun,manual,generate_more_than_needed_prompt,N,60.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,buna puni mumun,buna puni mumun,b u n a p u n i m u m u n,13,11,84.61538461538461,True,True,,3,none
20260529_171437,20260529_171437_00008,puna banana mami,manual,baseline_prompt,N,70.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,puna banana mami,puna banana mami,p u n a b a n a n a m a m i,14,8,57.14285714285714,False,False,failed_saturation,3,none
20260529_171437,20260529_171437_00009,mama mama pije,manual,baseline_prompt,N,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_repeated_words,mama mama pije,mama mama pije,m a m a m a m a p i j e,12,5,41.66666666666667,False,False,failed_saturation;repeated_words,3,none
20260529_171437,20260529_171437_00010,polje,manual,baseline_prompt,SN,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,polje,polje,p o lj e,4,2,50.0,True,True,,1,none
20260529_171437,20260529_171437_00011,vol,manual,baseline_prompt,SN,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,vol,vol,v o l,3,3,100.0,True,True,,1,none
20260529_171437,20260529_171437_00012,glog,manual,generate_more_than_needed_prompt,SN,60.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,glog,glog,g l o g,4,4,100.0,True,True,,1,none
20260529_171437,20260529_171437_00013,lovilo,manual,generate_more_than_needed_prompt,SN,70.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,lovilo,lovilo,l o v i l o,6,5,83.33333333333334,True,True,,1,none
20260529_171437,20260529_171437_00014,golovol,manual,generate_more_than_needed_prompt,SN,80.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,golovol,golovol,g o l o v o l,7,7,100.0,True,True,,1,none
20260529_171437,20260529_171437_00015,ovo veliko polje,manual,few_shot_prompt,SN,40.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,ovo veliko polje,ovo veliko polje,o v o v e l i k o p o lj e,13,8,61.53846153846154,True,True,,3,none
20260529_171437,20260529_171437_00016,lovac lovi goluba,manual,few_shot_prompt,SN,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,lovac lovi goluba,lovac lovi goluba,l o v a c l o v i g o l u b a,15,9,60.0,True,True,,3,none
20260529_171437,20260529_171437_00017,volog glog lovi,manual,generate_more_than_needed_prompt,SN,60.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,volog glog lovi,volog glog lovi,v o l o g g l o g l o v i,13,12,92.3076923076923,True,True,,3,none
20260529_171437,20260529_171437_00018,ovo polje lovi,manual,baseline_prompt,SN,70.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,ovo polje lovi,ovo polje lovi,o v o p o lj e l o v i,11,8,72.72727272727273,True,True,,3,none
20260529_171437,20260529_171437_00019,ovo polje,manual,baseline_prompt,SN,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_wrong_word_count,ovo polje,ovo polje,o v o p o lj e,7,5,71.42857142857143,True,False,wrong_word_count,2,none
20260529_171437,20260529_171437_00020,džep,manual,baseline_prompt,S,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,džep,džep,dž e p,3,1,33.33333333333333,False,False,failed_saturation,1,none
20260529_171437,20260529_171437_00021,rad,manual,baseline_prompt,S,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,rad,rad,r a d,3,3,100.0,True,True,,1,none
20260529_171437,20260529_171437_00022,krad,manual,generate_more_than_needed_prompt,S,60.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,krad,krad,k r a d,4,4,100.0,True,True,,1,none
20260529_171437,20260529_171437_00023,ražar,manual,generate_more_than_needed_prompt,S,70.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,ražar,ražar,r a ž a r,5,5,100.0,True,True,,1,none
20260529_171437,20260529_171437_00024,džaradar,manual,generate_more_than_needed_prompt,S,80.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,džaradar,džaradar,dž a r a d a r,7,7,100.0,True,True,,1,none
20260529_171437,20260529_171437_00025,brza riba radi,manual,few_shot_prompt,S,40.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,brza riba radi,brza riba radi,b r z a r i b a r a d i,12,7,58.333333333333336,True,True,,3,none
20260529_171437,20260529_171437_00026,radar radi brzo,manual,few_shot_prompt,S,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,radar radi brzo,radar radi brzo,r a d a r r a d i b r z o,13,9,69.23076923076923,True,True,,3,none
20260529_171437,20260529_171437_00027,džar radi razdragano,manual,generate_more_than_needed_prompt,S,60.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,džar radi razdragano,džar radi razdragano,dž a r r a d i r a z d r a g a n o,17,12,70.58823529411765,True,True,,3,none
20260529_171437,20260529_171437_00028,krad rad džar,manual,generate_more_than_needed_prompt,S,70.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,krad rad džar,krad rad džar,k r a d r a d dž a r,10,10,100.0,True,True,,3,none
20260529_171437,20260529_171437_00029,džep,manual,baseline_prompt,S,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_duplicate,džep,džep,dž e p,3,1,33.33333333333333,False,False,failed_saturation;duplicate,1,none
20260529_171437,20260529_171437_00030,čest,manual,baseline_prompt,SV,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,čest,čest,č e s t,4,3,75.0,True,True,,1,none
20260529_171437,20260529_171437_00031,šet,manual,baseline_prompt,SV,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,šet,šet,š e t,3,3,100.0,True,True,,1,none
20260529_171437,20260529_171437_00032,tete,manual,generate_more_than_needed_prompt,SV,60.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,tete,tete,t e t e,4,4,100.0,True,True,,1,none
20260529_171437,20260529_171437_00033,češće,manual,generate_more_than_needed_prompt,SV,70.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,češće,češće,č e š ć e,5,4,80.0,True,True,,1,none
20260529_171437,20260529_171437_00034,češetet,manual,generate_more_than_needed_prompt,SV,80.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,češetet,češetet,č e š e t e t,7,7,100.0,True,True,,1,none
20260529_171437,20260529_171437_00035,teta šeće često,manual,few_shot_prompt,SV,40.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,teta šeće često,teta šeće često,t e t a š e ć e č e s t o,13,9,69.23076923076923,True,True,,3,none
20260529_171437,20260529_171437_00036,čest šešir teče,manual,few_shot_prompt,SV,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,čest šešir teče,čest šešir teče,č e s t š e š i r t e č e,13,10,76.92307692307693,True,True,,3,none
20260529_171437,20260529_171437_00037,šeće teta češće,manual,generate_more_than_needed_prompt,SV,60.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,šeće teta češće,šeće teta češće,š e ć e t e t a č e š ć e,13,10,76.92307692307693,True,True,,3,none
20260529_171437,20260529_171437_00038,teta teta šeće,manual,baseline_prompt,SV,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_repeated_words,teta teta šeće,teta teta šeće,t e t a t e t a š e ć e,12,9,75.0,True,False,repeated_words,3,none
20260529_171437,20260529_171437_00039,čest šešir teče dugo danas ovdje,manual,baseline_prompt,SV,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_wrong_word_count,čest šešir teče dugo danas ovdje,čest šešir teče dugo danas ovdje,č e s t š e š i r t e č e d u g o d a n a s o v d j e,27,12,44.44444444444444,False,False,failed_saturation;wrong_word_count,6,none
20260529_171437,20260529_171437_00040,sit,manual,baseline_prompt,V,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,sit,sit,s i t,3,2,66.66666666666666,True,True,,1,none
20260529_171437,20260529_171437_00041,cic,manual,baseline_prompt,V,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,cic,cic,c i c,3,3,100.0,True,True,,1,none
20260529_171437,20260529_171437_00042,zizi,manual,generate_more_than_needed_prompt,V,60.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,zizi,zizi,z i z i,4,4,100.0,True,True,,1,none
20260529_171437,20260529_171437_00043,siscic,manual,generate_more_than_needed_prompt,V,70.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,siscic,siscic,s i s c i c,6,6,100.0,True,True,,1,none
20260529_171437,20260529_171437_00044,cizisic,manual,generate_more_than_needed_prompt,V,80.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,cizisic,cizisic,c i z i s i c,7,7,100.0,True,True,,1,none
20260529_171437,20260529_171437_00045,sit zec s ceste,manual,few_shot_prompt,V,40.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,sit zec s ceste,sit zec s ceste,s i t z e c s c e s t e,12,7,58.333333333333336,True,True,,4,none
20260529_171437,20260529_171437_00046,sivi zec sisa,manual,few_shot_prompt,V,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,sivi zec sisa,sivi zec sisa,s i v i z e c s i s a,11,8,72.72727272727273,True,True,,3,none
20260529_171437,20260529_171437_00047,cic zizi sisa,manual,generate_more_than_needed_prompt,V,60.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,cic zizi sisa,cic zizi sisa,c i c z i z i s i s a,11,10,90.9090909090909,True,True,,3,none
20260529_171437,20260529_171437_00048,siscic zizi cic,manual,generate_more_than_needed_prompt,V,70.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_valid_candidate,siscic zizi cic,siscic zizi cic,s i s c i c z i z i c i c,13,13,100.0,True,True,,3,none
20260529_171437,20260529_171437_00049,happy kuća,manual,baseline_prompt,V,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_foreign_letters,happy kuća,happy kuća,h a p p y k u ć a,9,1,11.11111111111111,False,False,failed_saturation;invalid_characters;wrong_word_count,2,none
20260529_171437,20260529_171437_00050,test123,manual,baseline_prompt,V,50.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_digits,test123,test123,t e s t 1 2 3,7,1,14.285714285714285,False,False,failed_saturation;invalid_characters,1,none
20260529_171437,20260529_171437_00051,panj,manual,baseline_prompt,N,40.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_duplicate,panj,panj,p a nj,3,2,66.66666666666666,True,False,duplicate,1,none
20260529_171437,20260529_171437_00052,džep,manual,baseline_prompt,V,80.0,word,manual_csv,data/manual_candidates_extended_example.csv,demo_failed_saturation,džep,džep,dž e p,3,0,0.0,False,False,failed_saturation;duplicate,1,none
20260529_171437,20260529_171437_00053,kuća lijepo svira danas tiho sada,manual,baseline_prompt,SN,50.0,sentence,manual_csv,data/manual_candidates_extended_example.csv,demo_wrong_word_count,kuća lijepo svira danas tiho sada,kuća lijepo svira danas tiho sada,k u ć a l i j e p o s v i r a d a n a s t i h o s a d a,28,5,17.857142857142858,False,False,failed_saturation;wrong_word_count,6,none
